ID,Individual,Sex,Mother ID,Mother name,Father ID,Father name,Birth date type,Birth year,Birth month,Birth day,Death date type,Death year,Death month,Death day,Partner ID,Partner name,Partner title,Partnership type,Partnership date type,Partnership year,Ex-partner IDs,place of birth,coordinate location birth,place of death,coordinate location death,Profession
Z9WEX,Charles Joseph von Habsburg,Male,NIJGY,Maria Leopoldine von Habsburg,IJQU4,Ferdinand III von Habsburg,Known,1649,8,7,Known,1664,1,27,,,,,,,,Vienna,"48.208333333333336,16.3725",Linz,"48.30583333333333,14.286388888888888","Archduke of Austria; Bishop of Olmütz, and Breslau, Passau"
J4PKZ,Charles V von Habsburg,Male,SL33Z,Joanna Trastámara,IENY6,"Philip ""the Handsome"" von Habsburg",Known,1500,2,24,Known,1558,9,21,EFFYS,Isabella Aviz,Wife,Married,Known,1526,,Ghent,"51.05361111111111,3.725277777777778",Monastery of Yuste,"40.114166666667,-5.7388888888889",
DJ4BU,Constance von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1588,12,24,Known,1631,7,10,YRBJY,Sigismund III Vasa,Husband,Married,Known,1605,,Graz,"47.07083333333333,15.438611111111111",Warsaw,"52.23,21.011111111111113","Queen of Poland and Sweden, Grand Duchess of Lithuania"
H619A,Eleanor von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1582,9,25,Known,1620,1,28,,,,,,,,Graz,"47.07083333333333,15.438611111111111",Hall in Tirol,"47.283333333333,11.5",Archduchess of Austria
L0W5K,Eleonor von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1534,11,2,Known,1594,8,5,ZX20B,Guglielmo Gonzaga,Husband,Married,Known,1561,,,,,,Duchess of Mantua
XVPKE,Elizabeth von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1526,7,9,Known,1545,6,15,,,,,,,OMES6,Linz,"48.30583333333333,14.286388888888888",Vilnius,"54.687222222222225,25.28",Queen of Poland and Grand Duchess of Lithuania
EJGEU,Ferdinand von Habsburg,Male,NGI9J,Margaret von Habsburg,G6P6F,Philip III von Habsburg,Known,1609,5,16,Known,1641,11,9,,,,,,,,,,,,Cardinal-Infante; Governor of Spanish Netherlands and Milan
PEBL3,Ferdinand Charles von Habsburg,Male,YDOX5,Claudia de' Medici,P3NXH,Leopold V von Habsburg,Known,1628,5,17,Known,1662,12,30,KOEB2,Anna de' Medici,Wife,Married,Known,1646,,Innsbruck,"47.268333333333,11.393333333333",Kaltern an der Weinstraße,"46.413259,11.246203",Archduke of Further Austria
JLF7W,Ferdinand I von Habsburg,Male,SL33Z,Joanna Trastámara,IENY6,"Philip ""the Handsome"" von Habsburg",Known,1503,3,10,Known,1564,7,25,C6WVQ,Anne Jagiellon,Wife,Married,Known,1521,,Alcalá de Henares,"40.481815,-3.364305",Vienna,"48.208333333333336,16.3725","Holy Roman Emperor, King of Bohemia, Hungary, and Croatia, and Archduke of Austria"
XGMDQ,Ferdinand II von Habsburg,Male,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1529,6,14,Known,1595,1,24,,,,,,,,Linz,"48.30583333333333,14.286388888888888",Innsbruck,"47.268333333333,11.393333333333",Holy Roman Emperor; Archduke of Austria
AGIZ6,Ferdinand II von Habsburg,Male,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1578,7,9,Known,1637,2,15,EZGXZ,Eleonora Gonzaga,Wife,Married,Known,1622,U2H75,Graz,"47.07083333333333,15.438611111111111",Vienna,"48.208333333333336,16.3725","Holy Roman Emperor, Archduke of Inner Austria, King of Bohemia, Hungary, and Croatia"
IJQU4,Ferdinand III von Habsburg,Male,U2H75,Maria Anna Wittelsbach,AGIZ6,Ferdinand II von Habsburg,Known,1608,7,13,Known,1657,4,2,LQBG9,Maria Anna von Habsburg,Wife,Married,Range,1631,DSZJ5 X5FPF SBAQS NIJGY,Graz,"47.07083333333333,15.438611111111111",Vienna,"48.208333333333336,16.3725","Holy Roman Emperor, Archduke of Inner Austria, King of Bohemia, Hungary, and Croatia"
HS06S,Gregoria Maximiliana von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1581,5,22,Known,1597,9,20,,,,,,,,Graz,"47.07083333333333,15.438611111111111",Graz,"47.07083333333333,15.438611111111111",Archduchess of Austria
UGQQQ,Helena von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1543,1,7,Known,1574,3,5,,,,,,,,Vienna,"48.208333333333336,16.3725",Hall in Tirol,"47.283333333333,11.5",Archduchess of Austria and co-founder of the Ladies' Convent of Hall
OI01H,Isabella Clara von Habsburg,Female,YDOX5,Claudia de' Medici,P3NXH,Leopold V von Habsburg,Known,1629,8,12,Known,1685,2,24,WQRP7,Charles II Gonzaga,Partner,,,,,Innsbruck,"47.268333333333,11.393333333333",Mantua,"45.156388888889,10.791111111111","Archduchess of Austria, Duchess of Mantua and Montferrat"
LA9C0,Joanna von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1547,1,24,Known,1578,4,11,Z3P91,Francesco I de' Medici,Husband,Married,Range,1565,,Prague,"50.0875,14.421388888888888",Florence,"43.771388888889,11.254166666667","Archduchess of Austria, Grand Duchess of Tuscany"
P3NXH,Leopold V von Habsburg,Male,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1586,10,9,Known,1632,9,13,YDOX5,Claudia de' Medici,Wife,Married,Known,1626,,Graz,"47.07083333333333,15.438611111111111",Schwaz,"47.34538888888889,11.708080555555556","Prince-Bishop of Passau and Strasbourg, then Archduke of Further Austria"
KPEAK,Leopold Wilhelm von Habsburg,Male,U2H75,Maria Anna Wittelsbach,AGIZ6,Ferdinand II von Habsburg,Known,1614,1,5,Known,1662,11,20,,,,,,,,Wiener Neustadt,"47.816666666667,16.25",Vienna,"48.208333333333336,16.3725","Prince-Bishop, Governor of the Spanish Netherlands"
,,,,,,,,,,,,,,,,,,,,,,Graz,"47.07083333333333,15.438611111111111",,,
NXNE2,Magdalena von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1532,8,14,Known,1590,9,10,,,,,,,,Innsbruck,"47.268333333333,11.393333333333",Hall in Tirol,"47.283333333333,11.5",Archduchess of Austria; Co-founder and first abbess of the Ladies' Convent of Hall
NGI9J,Margaret von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1584,12,25,Known,1611,10,3,G6P6F,Philip III von Habsburg,Husband,Married,Known,1599,,Graz,"47.07083333333333,15.438611111111111",Royal Monastery of San Lorenzo de El Escorial,"40.589167,-4.147778",Queen of Spain and Portugal
U4SF6,Margaret von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1536,2,16,Known,1567,3,12,,,,,,,,Innsbruck,"47.268333333333,11.393333333333",Hall in Tirol,"47.283333333333,11.5",Archduchess of Austria and Co-founder of the Ladies' Convent of Hall
XCE4H,Margaret von Habsburg,Female,Q8C63,Johanna Maria van der Gheynst,J4PKZ,Charles V von Habsburg,Known,1522,7,5,Known,1586,1,18,SY104,Alessandro de' Medici,Partner,,,,,Oudenaarde,"50.85,3.6",Ortona,"42.355658333333,14.403594444444",Duchess of Florence and Parma
O6930,Maria von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1531,5,15,Known,1581,12,11,,,,,,,,Prague,"50.0875,14.421388888888888",Schloss Hambach,"50.9,6.44083",Archduchess of Austria; Duchess of Jülich-Cleves-Berg
KRSZR,Maria von Habsburg,Female,EFFYS,Isabella Aviz,J4PKZ,Charles V von Habsburg,Known,1528,6,21,Known,1603,2,26,JS4I3,Maximilian II von Habsburg,Husband,Married,Known,1548,,Madrid,"40.41694444444445,-3.703333333333333",Convent of Las Descalzas Reales,"40.418267,-3.706192",Holy Roman Empress
LQBG9,Maria Anna von Habsburg,Female,NGI9J,Margaret von Habsburg,G6P6F,Philip III von Habsburg,Known,1606,8,18,Known,1646,5,13,IJQU4,Ferdinand III von Habsburg,Husband,Married,Range,1631,,Royal Monastery of San Lorenzo de El Escorial,"40.589167,-4.147778",Linz,"48.30583333333333,14.286388888888888",Holy Roman Empress and Queen of Hungary and Bohemia
TZEI6,Maria Anna von Habsburg,Female,U2H75,Maria Anna Wittelsbach,AGIZ6,Ferdinand II von Habsburg,Known,1610,1,13,Known,1665,9,25,ZR5IO,Maximilian I Wittelsbach,Partner,,,,OS6B2,Graz,"47.07083333333333,15.438611111111111",Munich,"48.1375,11.575","Archduchess of Austria, Electress of Bavaria"
X3CXG,Maria Christina von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1574,11,10,Known,1621,4,6,DRUPA,Sigismund Báthory,Husband,Married,Known,1595,,Graz,"47.07083333333333,15.438611111111111",Hall in Tirol,"47.283333333333,11.5",Princess of Transylvania
NIJGY,Maria Leopoldine von Habsburg,Female,YDOX5,Claudia de' Medici,P3NXH,Leopold V von Habsburg,Known,1632,4,6,Known,1649,8,7,,,,,,,IJQU4,Innsbruck,"47.268333333333,11.393333333333",Vienna,"48.208333333333336,16.3725",Archduchess of Austria
START,Archduchess Maria Maddalena von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1587,10,7,Known,1631,11,1,VD6AF,Cosimo II de' Medici,Husband,Married,Known,1608,,Graz,"47.07083333333333,15.438611111111111",Passau,"48.5748229,13.4609744",Grand Duchess of Tuscany
Y8WV1,Maximilian Ernest von Habsburg,Male,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1583,11,17,Known,1616,2,18,,,,,,,,Graz,"47.07083333333333,15.438611111111111",Graz,"47.07083333333333,15.438611111111111",Archduke of Austria
JS4I3,Maximilian II von Habsburg,Male,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1527,7,31,Known,1576,10,12,KRSZR,Maria von Habsburg,Wife,Married,Known,1548,,Vienna,"48.208333333333336,16.3725",Regensburg,"49.016666666666666,12.083333333333334",Holy Roman Emperor
IENY6,"Philip ""the Handsome"" von Habsburg",Male,KP71S,,ZU9NT,,Known,1478,,,Known,1506,9,25,SL33Z,Joanna Trastámara,Wife,Married,Known,1496,,Bruges,"51.208888888888886,3.2241666666666666",Burgos,"42.340833333333,-3.6997222222222",King of Castile; Lord of the Netherlands
S1TT1,Philip II von Habsburg,Male,EFFYS,Isabella Aviz,J4PKZ,Charles V von Habsburg,Known,1527,5,21,Known,1598,9,13,B7FN2,Anne von Habsburg,Partner,,,,,Palacio de Pimentel,"41.65638889,-4.72444444",Royal Monastery of San Lorenzo de El Escorial,"40.589167,-4.147778",King of Spain/the Spanish Empire
G6P6F,Philip III von Habsburg,Male,B7FN2,Anne von Habsburg,S1TT1,Philip II von Habsburg,Known,1578,4,14,Known,1621,3,31,NGI9J,Margaret von Habsburg,Wife,Married,Known,1599,,Madrid,"40.41694444444445,-3.703333333333333",Madrid,"40.41694444444445,-3.703333333333333",King of Spain and Portugal; King of Naples and Sicily; Duke of Milan
UUA0O,Philip IV von Habsburg,Male,NGI9J,Margaret von Habsburg,G6P6F,Philip III von Habsburg,Known,1605,4,8,Known,1665,9,17,,,,,,,,Valladolid Royal Palace,"41.656389,-4.725833",Cuarto bajo del Rey,,King of Spain
OZHPG,Rudolf II von Habsburg,Male,KRSZR,Maria von Habsburg,JS4I3,Maximilian II von Habsburg,Known,1552,7,18,Known,1612,1,20,,,,,,,,Vienna,"48.208333333333336,16.3725",Prague,"50.0875,14.421388888888888","Holy Roman Emperor (1576–1612), King of Hungary and Croatia (as Rudolf I, 1572–1608), King of Bohemia (1575–1608/1611) and Archduke of Austria (1576–1608)."
IEYP0,Sigismund Francis von Habsburg,Male,YDOX5,Claudia de' Medici,P3NXH,Leopold V von Habsburg,Known,1630,11,27,Known,1665,7,25,,,,,,,,Innsbruck,"47.268333333333,11.393333333333",Innsbruck,"47.268333333333,11.393333333333",Archduke of Further Austria
U2H75,Maria Anna Wittelsbach,Female,,,,,Known,1574,12,18,Known,1616,3,8,,,,,,,AGIZ6,Munich,"48.1375,11.575",Graz,"47.07083333333333,15.438611111111111",Archduchess of Inner Austria
ZR5IO,Maximilian I Wittelsbach,Male,,,,,Known,1573,4,17,Known,1651,9,27,TZEI6,Maria Anna von Habsburg,Partner,,,,UPW4N,Munich,"48.1375,11.575",Ingolstadt,"48.76305555555555,11.425",Elector of Bavaria
BI8XM,Eleonora Álvarez de Toledo y Pimentel-Osorio,Female,,,,,Known,1522,1,11,Known,1562,12,17,JHGPE,Cosimo I de' Medici,Husband,Married,Known,1539,,Toledo,"39.866666666667,-4.0333333333333",Pisa,"43.716666666667,10.4",Duchess of Florence
ZU9NT,,,,,,,,,,,,,,,,,,,,,KP71S,,,,,
